"scenario_id","G","nk","p","cov_type","design","eps","eta","method","false_rejection_rate","n_reps_total","mcse"
"S22",3,"50,50,50",50,"ar1","balanced",0.1,0.8,"Proposed",0.067,1000,0.00790638982089803
"S08",2,"30,30",100,"ar1","balanced",0.1,0.8,"Proposed",0.055,1000,0.00720936890441875
"S20",3,"30,30,30",100,"ar1","balanced",0.1,0.8,"Proposed",0.049,1000,0.00682634602111554
"S12",2,"50,50",100,"ar1","balanced",0.1,0.8,"Proposed",0.047,1000,0.00669260786241059
"S24",3,"50,50,50",100,"ar1","balanced",0.1,0.8,"Proposed",0.054,1000,0.00714730718522718
"S01",2,"20,20",30,"identity","balanced",0.1,0.8,"Proposed",0.054,1000,0.00714730718522718
"S13",3,"20,20,20",30,"identity","balanced",0.1,0.8,"Proposed",0.043,1000,0.00641490451994416
"S03",2,"20,20",50,"identity","balanced",0.1,0.8,"Proposed",0.048,1000,0.00675988165576883
"S15",3,"20,20,20",50,"identity","balanced",0.1,0.8,"Proposed",0.044,1000,0.00648567652600714
"S05",2,"30,30",50,"identity","balanced",0.1,0.8,"Proposed",0.052,1000,0.00702111102319284
"S17",3,"30,30,30",50,"identity","balanced",0.1,0.8,"Proposed",0.036,1000,0.00589101010014412
"S09",2,"50,50",50,"identity","balanced",0.1,0.8,"Proposed",0.052,1000,0.00702111102319284
"S21",3,"50,50,50",50,"identity","balanced",0.1,0.8,"Proposed",0.046,1000,0.00662449998113065
"S07",2,"30,30",100,"identity","balanced",0.1,0.8,"Proposed",0.042,1000,0.00634318531969546
"S19",3,"30,30,30",100,"identity","balanced",0.1,0.8,"Proposed",0.046,1000,0.00662449998113065
"S11",2,"50,50",100,"identity","balanced",0.1,0.8,"Proposed",0.047,1000,0.00669260786241059
"S23",3,"50,50,50",100,"identity","balanced",0.1,0.8,"Proposed",0.046,1000,0.00662449998113065
"S26",2,"30,20",30,"ar1","unbalanced",0.1,0.8,"Proposed",0.051,1000,0.00695693898205238
"S34",3,"30,20,20",30,"ar1","unbalanced",0.1,0.8,"Proposed",0.046,1000,0.00662449998113065
"S28",2,"30,20",50,"ar1","unbalanced",0.1,0.8,"Proposed",0.047,1000,0.00669260786241059
"S36",3,"30,20,20",50,"ar1","unbalanced",0.1,0.8,"Proposed",0.029,1000,0.00530650544143695
"S30",2,"50,30",50,"ar1","unbalanced",0.1,0.8,"Proposed",0.065,1000,0.00779583221984671
"S38",3,"50,30,20",50,"ar1","unbalanced",0.1,0.8,"Proposed",0.039,1000,0.00612200947402076
"S32",2,"50,30",100,"ar1","unbalanced",0.1,0.8,"Proposed",0.041,1000,0.00627048642451285
"S40",3,"50,30,20",100,"ar1","unbalanced",0.1,0.8,"Proposed",0.027,1000,0.00512552436341883
"S25",2,"30,20",30,"identity","unbalanced",0.1,0.8,"Proposed",0.042,1000,0.00634318531969546
"S33",3,"30,20,20",30,"identity","unbalanced",0.1,0.8,"Proposed",0.035,1000,0.00581162627841812
"S27",2,"30,20",50,"identity","unbalanced",0.1,0.8,"Proposed",0.052,1000,0.00702111102319284
"S35",3,"30,20,20",50,"identity","unbalanced",0.1,0.8,"Proposed",0.05,1000,0.00689202437604511
"S29",2,"50,30",50,"identity","unbalanced",0.1,0.8,"Proposed",0.04,1000,0.00619677335393187
"S37",3,"50,30,20",50,"identity","unbalanced",0.1,0.8,"Proposed",0.027,1000,0.00512552436341883
"S31",2,"50,30",100,"identity","unbalanced",0.1,0.8,"Proposed",0.044,1000,0.00648567652600714
"S39",3,"50,30,20",100,"identity","unbalanced",0.1,0.8,"Proposed",0.026,1000,0.00503229569878401
"S02",2,"20,20",30,"ar1","balanced",0.2,0.6,"Schott",1,1000,0
"S14",3,"20,20,20",30,"ar1","balanced",0.2,0.6,"Schott",1,1000,0
"S04",2,"20,20",50,"ar1","balanced",0.2,0.6,"Schott",1,1000,0
"S16",3,"20,20,20",50,"ar1","balanced",0.2,0.6,"Schott",1,1000,0
"S06",2,"30,30",50,"ar1","balanced",0.2,0.6,"Schott",1,1000,0
"S18",3,"30,30,30",50,"ar1","balanced",0.2,0.6,"Schott",1,1000,0
"S10",2,"50,50",50,"ar1","balanced",0.2,0.6,"Schott",1,1000,0
"S22",3,"50,50,50",50,"ar1","balanced",0.2,0.6,"Schott",1,1000,0
"S08",2,"30,30",100,"ar1","balanced",0.2,0.6,"Schott",1,1000,0
"S20",3,"30,30,30",100,"ar1","balanced",0.2,0.6,"Schott",1,1000,0
"S12",2,"50,50",100,"ar1","balanced",0.2,0.6,"Schott",1,1000,0
"S24",3,"50,50,50",100,"ar1","balanced",0.2,0.6,"Schott",1,1000,0
"S01",2,"20,20",30,"identity","balanced",0.2,0.6,"Schott",1,1000,0
"S13",3,"20,20,20",30,"identity","balanced",0.2,0.6,"Schott",1,1000,0
"S03",2,"20,20",50,"identity","balanced",0.2,0.6,"Schott",1,1000,0
"S15",3,"20,20,20",50,"identity","balanced",0.2,0.6,"Schott",1,1000,0
"S05",2,"30,30",50,"identity","balanced",0.2,0.6,"Schott",1,1000,0
"S17",3,"30,30,30",50,"identity","balanced",0.2,0.6,"Schott",1,1000,0
"S09",2,"50,50",50,"identity","balanced",0.2,0.6,"Schott",1,1000,0
"S21",3,"50,50,50",50,"identity","balanced",0.2,0.6,"Schott",1,1000,0
"S07",2,"30,30",100,"identity","balanced",0.2,0.6,"Schott",1,1000,0
"S19",3,"30,30,30",100,"identity","balanced",0.2,0.6,"Schott",1,1000,0
"S11",2,"50,50",100,"identity","balanced",0.2,0.6,"Schott",1,1000,0
"S23",3,"50,50,50",100,"identity","balanced",0.2,0.6,"Schott",1,1000,0
"S26",2,"30,20",30,"ar1","unbalanced",0.2,0.6,"Schott",1,1000,0
"S34",3,"30,20,20",30,"ar1","unbalanced",0.2,0.6,"Schott",1,1000,0
"S28",2,"30,20",50,"ar1","unbalanced",0.2,0.6,"Schott",1,1000,0
"S36",3,"30,20,20",50,"ar1","unbalanced",0.2,0.6,"Schott",1,1000,0
"S30",2,"50,30",50,"ar1","unbalanced",0.2,0.6,"Schott",1,1000,0
"S38",3,"50,30,20",50,"ar1","unbalanced",0.2,0.6,"Schott",1,1000,0
"S32",2,"50,30",100,"ar1","unbalanced",0.2,0.6,"Schott",1,1000,0
"S40",3,"50,30,20",100,"ar1","unbalanced",0.2,0.6,"Schott",1,1000,0
"S25",2,"30,20",30,"identity","unbalanced",0.2,0.6,"Schott",1,1000,0
"S33",3,"30,20,20",30,"identity","unbalanced",0.2,0.6,"Schott",1,1000,0
"S27",2,"30,20",50,"identity","unbalanced",0.2,0.6,"Schott",1,1000,0
"S35",3,"30,20,20",50,"identity","unbalanced",0.2,0.6,"Schott",1,1000,0
"S29",2,"50,30",50,"identity","unbalanced",0.2,0.6,"Schott",1,1000,0
"S37",3,"50,30,20",50,"identity","unbalanced",0.2,0.6,"Schott",1,1000,0
"S31",2,"50,30",100,"identity","unbalanced",0.2,0.6,"Schott",1,1000,0
"S39",3,"50,30,20",100,"identity","unbalanced",0.2,0.6,"Schott",1,1000,0
"S02",2,"20,20",30,"ar1","balanced",0.1,0.8,"Schott",0.595,1000,0.0155233694795943
"S14",3,"20,20,20",30,"ar1","balanced",0.1,0.8,"Schott",0.471,1000,0.0157847711418316
"S04",2,"20,20",50,"ar1","balanced",0.1,0.8,"Schott",0.637,1000,0.0152062815967613
"S16",3,"20,20,20",50,"ar1","balanced",0.1,0.8,"Schott",0.528,1000,0.0157865765763195
"S06",2,"30,30",50,"ar1","balanced",0.1,0.8,"Schott",0.959,1000,0.00627048642451286
"S18",3,"30,30,30",50,"ar1","balanced",0.1,0.8,"Schott",0.908,1000,0.00913980306133562
"S10",2,"50,50",50,"ar1","balanced",0.1,0.8,"Schott",1,1000,0
"S22",3,"50,50,50",50,"ar1","balanced",0.1,0.8,"Schott",1,1000,0
"S08",2,"30,30",100,"ar1","balanced",0.1,0.8,"Schott",0.974,1000,0.00503229569878401
"S20",3,"30,30,30",100,"ar1","balanced",0.1,0.8,"Schott",0.947,1000,0.00708456067798138
"S12",2,"50,50",100,"ar1","balanced",0.1,0.8,"Schott",1,1000,0
"S24",3,"50,50,50",100,"ar1","balanced",0.1,0.8,"Schott",1,1000,0
"S01",2,"20,20",30,"identity","balanced",0.1,0.8,"Schott",0.748,1000,0.013729384545565
"S13",3,"20,20,20",30,"identity","balanced",0.1,0.8,"Schott",0.628,1000,0.0152845019545944
"S03",2,"20,20",50,"identity","balanced",0.1,0.8,"Schott",0.804,1000,0.0125532465920175
"S15",3,"20,20,20",50,"identity","balanced",0.1,0.8,"Schott",0.683,1000,0.0147143127600306
"S05",2,"30,30",50,"identity","balanced",0.1,0.8,"Schott",0.999,1000,0.000999499874937461
"S17",3,"30,30,30",50,"identity","balanced",0.1,0.8,"Schott",0.993,1000,0.00263647491928143
"S09",2,"50,50",50,"identity","balanced",0.1,0.8,"Schott",1,1000,0
"S21",3,"50,50,50",50,"identity","balanced",0.1,0.8,"Schott",1,1000,0
"S07",2,"30,30",100,"identity","balanced",0.1,0.8,"Schott",0.998,1000,0.00141279864099595
"S19",3,"30,30,30",100,"identity","balanced",0.1,0.8,"Schott",0.997,1000,0.00172945077987204
"S11",2,"50,50",100,"identity","balanced",0.1,0.8,"Schott",1,1000,0
"S23",3,"50,50,50",100,"identity","balanced",0.1,0.8,"Schott",1,1000,0
"S26",2,"30,20",30,"ar1","unbalanced",0.1,0.8,"Schott",0.795,1000,0.0127661662216971
"S34",3,"30,20,20",30,"ar1","unbalanced",0.1,0.8,"Schott",0.625,1000,0.0153093108923949
"S28",2,"30,20",50,"ar1","unbalanced",0.1,0.8,"Schott",0.851,1000,0.0112605062053178
"S36",3,"30,20,20",50,"ar1","unbalanced",0.1,0.8,"Schott",0.675,1000,0.0148113132435986
"S30",2,"50,30",50,"ar1","unbalanced",0.1,0.8,"Schott",0.995,1000,0.00223047080231955
"S38",3,"50,30,20",50,"ar1","unbalanced",0.1,0.8,"Schott",0.966,1000,0.00573096850453743
"S32",2,"50,30",100,"ar1","unbalanced",0.1,0.8,"Schott",0.997,1000,0.00172945077987204
"S40",3,"50,30,20",100,"ar1","unbalanced",0.1,0.8,"Schott",0.972,1000,0.0052168956286282
"S25",2,"30,20",30,"identity","unbalanced",0.1,0.8,"Schott",0.926,1000,0.00827792244467173
"S33",3,"30,20,20",30,"identity","unbalanced",0.1,0.8,"Schott",0.817,1000,0.0122274690758145
"S27",2,"30,20",50,"identity","unbalanced",0.1,0.8,"Schott",0.961,1000,0.00612200947402077
"S35",3,"30,20,20",50,"identity","unbalanced",0.1,0.8,"Schott",0.847,1000,0.0113838042850358
"S29",2,"50,30",50,"identity","unbalanced",0.1,0.8,"Schott",1,1000,0
"S37",3,"50,30,20",50,"identity","unbalanced",0.1,0.8,"Schott",0.999,1000,0.000999499874937461
"S31",2,"50,30",100,"identity","unbalanced",0.1,0.8,"Schott",1,1000,0
"S39",3,"50,30,20",100,"identity","unbalanced",0.1,0.8,"Schott",0.999,1000,0.000999499874937461
